0,1,2,3
Provisions,238.10,175.93,140.25
Deferred tax liabilities,"7,413.52","4,398.40","3,102.18"
Other liabilities,"92,830.56","125,286.00","117,555.48"
Debt securities issued,"78,774.81","104,633.31","129,406.62"
Subordinated Liabilities,-,-,-
,,,
Equity,"463,321.52","510,827.00","540,670.51"
Share Capital,"282,384.79","309,128.56","320,641.54"
Share premium,828.19,566.18,269.35
Retained earnings,"41,222.79","38,552.00","14,078.99"
Reserves,"138,885.77","162,580.27","205,680.63"
,,,
Total Liabilities and Equity,"4,467,996.64","4,955,072.00","5,224,080.05"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"284,153.81","382,035.47","472,114.19"
Interest Expense,"172,695.78","253,507.69","315,469.35"
Net Interest Income,"111,458.03","128,527.79","156,644.84"
Fees and commission income,"25,184.84","28,626.09","29,323.63"
Fees and commission expense,"2,796.74","4,452.80","4,953.25"
Net fee and commission income,"22,388.11","24,173.29","24,370.38"
"Net interest, fee and commission income","133,846.13","152,701.07","181,015.21"
Net trading income,"10,245.23","7,668.79","5,213.97"
Other operating income,"10,337.84","5,531.95","3,472.22"
Total operating income,"154,429.20","165,901.81","189,701.40"
Impairment charge/(reversal) for loans and other losses,"10,844.21","10,519.37","45,076.48"
Net operating income,"143,585.00","155,382.44","144,624.92"
Personnel expenses,"43,653.28","47,435.13","44,767.72"
Other operating expenses,"19,292.00","18,550.14","18,072.17"
Depreciation and Amortization,"4,805.77","8,239.61","7,987.91"
Operating Profit,"75,833.95","81,157.55","73,797.12"
Non-operating income,585.03,"1,515.60",254.27
Non-operating expense,"1,016.73","1,760.18","4,167.80"
Profit before income tax,"75,402.25","80,912.98","69,883.59"
Income Tax Expense,-,-,483.72
Current Tax,"23,736.21","25,188.45","24,343.06"
Deferred Tax,(979.45),"(1,079.26)","(2,677.81)"
Profit for the period,"52,645.49","56,803.78","48,218.34"
