0,1,2,3
17.Machhapuchhre Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"9,442.90","9,778.03","8,679.17"
Due from Nepal Rastra Bank,"3,226.96","4,552.00","8,908.18"
Placement with Bank and Financial Institutions,"1,458.03",81.14,477.09
Derivative financial instruments,72.60,67.42,21.85
Other trading assets,358.70,212.02,17.41
Loan and advances to B/FIs,"2,440.17","2,471.15","3,714.54"
Loans and advances to customers,"75,095.77","92,529.23","113,572.01"
Investment securities,"10,306.08","11,932.41","19,603.81"
Current tax assets,209.98,275.81,419.11
Investment in subsidiaries,200.00,200.00,200.00
Investment in associates,-,-,-
Investment property,78.46,174.95,273.91
Property and equipment,"1,122.93","1,335.80","1,474.09"
Goodwill and Intangible assets,49.01,65.13,126.03
Deferred tax assets,21.42,35.23,35.14
Other assets,"1,163.04",809.25,691.21
TOTAL ASSETS,"105,246.05","124,519.57","158,213.55"
,,-,-
Liabilities,"94,009.17","112,934.87","145,349.42"
