0,1,2,3
19.  Prabhu Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"8,371.90","7,664.02","10,033.58"
Due from Nepal Rastra Bank,"16,537.18","13,514.39","10,670.24"
Placement with Bank and Financial Institutions,595.75,12.80,-
Derivative financial instruments,"6,116.14","1,523.80","2,304.45"
Other trading assets,237.86,124.28,193.25
Loans and advances to BFIs,"7,362.45","6,411.86","6,975.49"
Loans and advances to customers,"135,117.77","145,381.57","234,154.90"
Investment securities,"33,356.50","49,700.75","69,573.75"
Current tax assets,159.31,109.06,130.01
Investment in subsidiaries,524.23,524.23,795.73
Investment in associates,-,-,27.50
Investment property,349.03,458.75,445.35
Property and equipment,"2,305.37","3,545.39","4,875.63"
Goodwill and Intangible assets,143.71,115.16,357.56
