0,1,2,3
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"30,272.40","29,742.61","27,209.05"
Interest Expense,"18,456.17","19,712.37","17,055.07"
Net Interest Income,"11,816.23","10,030.24","10,153.98"
Fees and commission income,"1,091.72","1,225.75","1,847.89"
Fees and commission expense,427.22,499.70,592.66
Net Fee and commission income,664.50,726.05,"1,255.23"
"Net Interest, Fee and commission income","12,480.72","10,756.29","11,409.21"
Net trading income,(2.85),51.19,129.50
Other operating income,790.51,737.38,"1,393.69"
Total operating income,"13,268.39","11,544.86","12,932.40"
Impairment charge/(reversal) for loans and other losses,"2,608.61","1,146.47","2,234.42"
Net operating income,"10,659.78","10,398.39","10,697.98"
Personnel expenses,"3,967.26","4,349.26","4,801.53"
Other operating expense,"1,165.72","1,345.48","1,372.03"
Depreciation &Amortization,564.54,613.38,582.39
Operating Profit,"4,962.25","4,090.27","3,942.02"
Non operating income,115.01,96.91,69.86
