0,1,2,3,4
SN,Sector,% of Total Loan (mid-July),,
,,2017,2018,2019
1,Agriculture Forest,4.23,4.60,5.26
2,Fishery,0.12,0.11,0.14
3,Mining,0.20,0.21,0.28
4,"Agriculture, Forestry & Beverage Prod. Related",6.45,6.00,5.66
5,Non-food Production Related,11.75,12.85,13.70
6,Manufacturing*,-,-,-
7,Construction,10.30,10.06,10.06
8,"Electricity, Gas and Water",3.42,3.89,4.79
9,"Metal Products, Machineries, Elec. and Installation",1.30,1.41,1.29
10,"Transport, Warehousing and Communication",3.02,2.71,2.55
11,Wholesalers and Retailers,22.92,22.90,22.06
