0,1,2,3,4,5,6
S.N.,Name of Banks,2020,2021,2022,2023,2024
1,Nepal Bank Limited,211,252,266,285,290
2,Rastriya Banijya Bank Limited,271,278,293,333,354
3,NABIL Bank Limited,124,153,247,284,288
4,Standard  Chartered  Bank  Nepal Limited,15,15,15,15,15
5,Himalayan Bank Limited,67,77,81,211,197
6,Nepal SBI Bank Limited,108,108,113,116,123
7,Everest Bank Limited,99,107,122,131,133
8,NIC Asia Bank Limited,424,427,462,472,479
9,Machhapuchchhre Bank Limited,165,168,174,179,178
10,Kumari Bank Limited,186,203,212,350,353
11,Siddhartha Bank Limited,186,189,190,197,197
12,Agricultural Development Bank,268,282,286,287,287
13,Global IME Bank Limited,294,321,341,423,424
14,Citizens Bank International Limited,110,190,179,191,200
15,Prime Commercial Bank Limited,198,186,181,190,194
16,NMB Bank Limited,172,190,212,213,212
17,Sanima Bank Limited,88,103,127,132,133
18,Prabhu Bank Limited,259,276,280,368,377
19,Nepal Investment  Mega Bank Limited,-,-,-,358,338
20,Laxmi Sunrise Bank Limited,-,-,-,314,284
,Total,"4,436","4,753","5,009","5,049","5,056"
